"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"747",27.751429,27.857143,27.285715,27.408571,97209700,24.010704
"748",27.595715,27.928572,27.514286,27.918571,152192600,24.457479
"749",28.007143,28.535715,27.952858,28.318571,152976600,24.80789
"750",28.491428,28.692858,28.379999,28.622858,87378900,25.074453
"751",28.742857,28.911428,28.687143,28.871429,86381400,25.292206
"752",29.078571,29.907143,29.049999,29.862858,125222300,26.160727
"753",30.245714,30.564285,29.944286,30.23,161141400,26.482359
"754",30.375713,30.388571,29.818571,29.871429,111301400,26.168236
"755",29.832857,30.285715,29.758572,30.234285,103021100,26.486115
"756",30.447144,30.478571,30.08,30.104286,88102700,26.372231
"757",30.49,30.642857,30.34,30.572857,123432400,26.782711
"758",30.657143,30.798571,30.464285,30.625713,150476200,26.82901
"759",30.625713,30.747143,30.107143,30.138571,138040000,26.40226
"760",30.25,30.285715,29.864286,30.082857,119282800,26.35346
"761",30.042856,30.285715,29.865715,30.282858,111902700,26.528664
"762",30.4,30.428572,29.778572,30.015715,115557400,26.29464
"763",29.884285,29.967142,29.488571,29.674286,148614900,25.995537
"764",29.695715,30.132856,29.157143,30.092857,151473000,26.362217
"765",30.015715,30.065714,29.860001,29.918571,108223500,26.209538
"766",30.132856,30.228571,29.41,29.418571,148516900,25.771528
"767",29.761429,30.741428,29.605715,30.719999,182501900,26.911612
"768",30.701429,30.792856,29.928572,30.247143,153038200,26.497383
"769",30.297142,30.472857,29.601429,29.724285,152038600,26.039341
"770",29.540001,29.642857,28.165714,28.25,220441900,24.747818
"771",28.93,29.242857,28.598572,29.01,266424900,25.413599
"772",29.421429,30.530001,28.940001,29.42,466777500,25.772774
"773",29.549999,30.082857,28.504286,29.697144,430642100,26.01556
"774",29.275715,29.357143,28.385714,28.469999,293375600,24.940546
"775",28.725714,28.885714,27.178572,27.437143,311488100,24.035734
"776",27.481428,28,27.328571,27.818571,187469100,24.369871
"777",27.987143,28.045713,27.625713,27.98,174585600,24.511295
"778",27.881428,28.6,27.774286,28.461428,153832000,24.933033
"779",28.104286,28.338572,27.367144,27.435715,189413000,24.034487
"780",27.518572,28,27.264286,27.922857,212576700,24.461227
"781",27.955715,28.268572,27.714285,27.731428,119567700,24.293537
"782",28.059999,28.214285,27.821428,28.027143,158221700,24.552589
"783",27.984285,28.085714,27.751429,27.874287,92590400,24.418684
"784",27.84,28.535715,27.722857,28.381428,137586400,24.862957
"785",28.301428,28.805714,27.928572,28.625713,163867200,25.076958
"786",28.848572,29.098572,28.788572,29.057142,135934400,25.454903
"787",29.17,29.187143,28.694286,28.935715,109099200,25.348528
"788",28.804285,29.127142,28.702858,28.99,105706300,25.396086
"789",28.837143,29.028572,28.73,28.809999,103867400,25.238398
"790",28.905714,28.928572,28.455715,28.631428,97640900,25.081959
"791",28.571428,28.761429,27.95857,28.151428,143773700,24.661467
"792",28.318571,28.777143,28.262857,28.665714,115141600,25.112
"793",28.197144,28.98,28.127142,28.857143,166281500,25.279694
"794",28.911428,29.309999,28.857143,29.231428,126865200,25.607582
"795",29.392857,29.928572,29.35,29.855715,137523400,26.154476
"796",29.99,30.118572,29.677143,29.835714,141636600,26.136955
"797",29.848572,29.981428,29.705715,29.904285,93013200,26.19702
"798",29.897142,30.131428,29.804285,30.101429,91510300,26.369726
"799",30.705715,31.385714,30.661428,31.278572,224905100,27.400942
"800",31.43,31.441429,31.178572,31.297142,107472400,27.417202
"801",31.187143,32.142857,31.127142,31.860001,230064800,27.910288
"802",31.975714,32.21143,31.885714,32.119999,149054500,28.13805
"803",31.987143,32.214287,31.902857,32.214287,101425100,28.220652
"804",32.48143,32.532856,32.25,32.371429,104080900,28.358316
"805",32.197144,32.214287,31.464285,31.977142,123375700,28.012909
"806",32.025715,32.139999,31.787144,32.064285,111727000,28.089249
"807",32.128571,32.349998,31.895714,32.017143,112739200,28.047943
"808",32.014286,32.142857,31.801428,32.092857,85527400,28.114275
"809",32.112858,32.177143,31.604286,31.75,139861400,27.813921
"810",31.495714,32.285713,31.450001,32.107143,114104900,28.126791
"811",32.234287,32.682858,32.014286,32.622856,150607800,28.578577
"812",32.52,32.885715,32.501427,32.767143,149445100,28.704969
"813",32.988571,32.995716,32.32143,32.378571,135571100,28.364563
"814",32.707142,33.135715,32.650002,32.985714,160218800,28.896444
"815",33.285713,33.41,33.08857,33.19857,135186100,29.082912
"816",33.799999,33.925713,33.464287,33.692856,131827500,29.515915
"817",33.64143,33.80143,33.494286,33.57143,107664900,29.409555
"818",33.915714,34.104286,33.25,33.709999,150786300,29.530935
"819",33.568573,34.072857,33.53857,34.07,171126900,29.846308
"820",34.028572,34.32,33.857143,34.220001,111754300,29.977713
"821",34.221428,34.560001,34.094284,34.371429,157125500,30.110367
"822",34.348572,34.505714,34.005714,34.278572,143247300,30.029022
"823",34.490002,34.555714,34.351429,34.541428,83545700,30.259291
"824",34.599998,34.724285,34.544285,34.612858,83256600,30.321867
"825",34.55143,34.685715,34.444286,34.632858,76552700,30.339388
"826",35.040001,35.115715,34.867142,35.098572,101019100,30.74737
"827",35.111427,35.575714,35.072857,35.560001,94196200,31.151594
"828",35.509998,35.877144,34.935715,35.342857,187636400,30.961372
"829",35.290001,35.412857,34.53857,35.295715,141731100,30.920074
"830",35.505714,35.607143,34.708572,34.941429,184581600,30.609709
"831",36.971428,37.17857,36.532856,37.031429,245597800,32.440613
"832",36.89143,38.107143,36.599998,38.067142,198356200,33.347923
"833",38.284286,38.882858,38.142857,38.689999,199238900,33.893559
"834",38.84,38.922855,38.312859,38.5,119767200,33.727112
"835",38.181427,38.262856,37.217144,37.434284,177335900,32.793526
"836",37.607143,37.714287,36.630001,37.371429,189600600,32.738453
"837",37.574287,38.57143,37.43,38.377144,139710200,33.619499
"838",38.472858,38.652859,37.285713,37.298573,135615900,32.674633
"839",37.691429,38.26857,37.554287,38.049999,113585500,33.332901
"840",37.555714,37.612858,36.67857,36.954285,180954900,32.373024
"841",36.147144,36.877144,35.532856,36.57,220775800,32.036388
"842",36.261429,36.892857,28.464285,35.17857,321465200,30.817446
"843",34.815716,35.224285,32.172855,33.694286,419004600,29.517174
"844",35.75,36.378571,35.504284,36.284286,246076600,31.786081
"845",35.977142,37.127144,35.785713,36.645714,212226700,32.102722
"846",37.034286,37.59,36.957142,37.441429,163594900,32.799774
"847",37.602856,37.857143,36.628571,36.908573,149928100,32.332973
"848",36.451427,36.639999,35.642857,36.259998,189840700,31.764812
"849",36.385715,36.597141,35.387142,36.317142,190708700,31.814878
"850",36.71143,36.935715,35.751427,36.05143,195669600,31.5821
"851",35.642857,36.131428,34.978573,35.477142,256431700,31.079006
"852",34.554287,34.835712,33.744286,33.965714,320728800,29.754946
"853",33.259998,34.92857,33.049999,34.617142,305972800,30.325617
"854",35.325714,35.842857,35.18,35.251427,188559700,30.881273
"855",34.192856,35.251427,33.880001,35.031429,262001600,30.688547
"856",35.725716,36.01857,34.82143,34.872856,212663500,30.549629
"857",35.799999,36.27,35.587143,36.192856,166570600,31.70599
"858",37.055714,37.057144,36.192856,36.697144,203903700,32.147762
"859",37.098572,37.991428,36.994286,37.261429,219118200,32.642082
